time	V(N001,N002)	V(N001,Vin)	V(vin)	V(n002)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.158344775991160e-08	5.977283e-06	3.278636e-09	2.563021e-04	2.503281e-04
1.631668955198232e-07	2.068938e-05	7.412567e-10	5.126040e-04	4.919154e-04
2.447503432797348e-07	4.413630e-05	-7.612137e-09	7.689056e-04	7.247617e-04
3.263337910396464e-07	7.631804e-05	-2.178154e-08	1.025207e-03	9.488672e-04
4.079172387995580e-07	1.172346e-04	-4.176697e-08	1.281508e-03	1.164232e-03
4.895006865594696e-07	1.668860e-04	-6.756840e-08	1.537809e-03	1.370856e-03
5.710841343193810e-07	2.252721e-04	-9.918585e-08	1.794110e-03	1.568738e-03
7.224295649908358e-07	3.522306e-04	-1.974404e-07	2.269572e-03	1.917144e-03
9.091095682095636e-07	5.421788e-04	-3.855675e-07	2.856036e-03	2.313472e-03
1.155009189178667e-06	8.436595e-04	-7.697381e-07	3.628537e-03	2.784107e-03
1.467040879572749e-06	1.300474e-03	-1.526438e-06	4.608780e-03	3.306780e-03
1.881562868534861e-06	2.017306e-03	-3.086403e-06	5.910967e-03	3.890574e-03
2.425403571642284e-06	3.112564e-03	-6.265938e-06	7.619335e-03	4.500506e-03
3.168039299063541e-06	4.824306e-03	-1.302641e-05	9.952032e-03	5.114699e-03
4.193864499430216e-06	7.471572e-03	-2.764072e-05	1.317389e-02	5.674677e-03
5.684979295393391e-06	1.166571e-02	-6.100722e-05	1.785609e-02	6.129375e-03
7.875428199608446e-06	1.817538e-02	-1.370907e-04	2.473129e-02	6.418820e-03
1.093648816227886e-05	2.750626e-02	-3.024749e-04	3.433096e-02	6.522226e-03
2.063591771660386e-05	5.703898e-02	-1.200318e-03	6.464815e-02	6.408852e-03
3.040154271660386e-05	8.601816e-02	-2.694800e-03	9.492949e-02	6.216530e-03
4.504998021660385e-05	1.277151e-01	-6.041229e-03	1.396463e-01	5.890033e-03
5.969841771660384e-05	1.670112e-01	-1.065020e-02	1.831810e-01	5.519676e-03
7.434685521660386e-05	2.036144e-01	-1.644224e-02	2.251651e-01	5.108408e-03
8.899529271660387e-05	2.372545e-01	-2.332906e-02	2.652431e-01	4.659531e-03
1.036437302166039e-04	2.676847e-01	-3.121433e-02	3.030757e-01	4.176671e-03
1.182921677166039e-04	2.946846e-01	-3.999445e-02	3.383428e-01	3.663747e-03
1.329406052166039e-04	3.180615e-01	-4.955932e-02	3.707457e-01	3.124939e-03
1.475890427166039e-04	3.376522e-01	-5.979338e-02	4.000102e-01	2.564649e-03
1.622374802166039e-04	3.533246e-01	-7.057646e-02	4.258886e-01	1.987466e-03
1.761883730737468e-04	3.644855e-01	-8.151900e-02	4.474203e-01	1.415798e-03
1.901392659308897e-04	3.719480e-01	-9.246200e-02	4.652578e-01	8.478950e-04
