Freq.	V(n002)
1.00000000000000e+01	(-3.78573720568828e-03dB,-1.69150840506981e+00°)
1.02329299228075e+01	(-3.96407210195739e-03dB,-1.73088500246089e+00°)
1.04712854805090e+01	(-4.15080381448198e-03dB,-1.77117710527377e+00°)
1.07151930523761e+01	(-4.34632731655653e-03dB,-1.81240591741754e+00°)
1.09647819614319e+01	(-4.55105612311803e-03dB,-1.85459312807246e+00°)
1.12201845430196e+01	(-4.76542315757271e-03dB,-1.89776092237836e+00°)
1.14815362149688e+01	(-4.98988165881054e-03dB,-1.94193199232830e+00°)
1.17489755493953e+01	(-5.22490613019843e-03dB,-1.98712954786926e+00°)
1.20226443461741e+01	(-5.47099333251896e-03dB,-2.03337732821125e+00°)
1.23026877081238e+01	(-5.72866332281058e-03dB,-2.08069961334615e+00°)
1.25892541179417e+01	(-5.99846054116691e-03dB,-2.12912123577755e+00°)
1.28824955169313e+01	(-6.28095494773328e-03dB,-2.17866759246221e+00°)
1.31825673855641e+01	(-6.57674321208280e-03dB,-2.22936465696395e+00°)
1.34896288259165e+01	(-6.88644995738710e-03dB,-2.28123899182008e+00°)
1.38038426460288e+01	(-7.21072906181239e-03dB,-2.33431776112059e+00°)
1.41253754462275e+01	(-7.55026501971848e-03dB,-2.38862874329951e+00°)
1.44543977074593e+01	(-7.90577436530988e-03dB,-2.44420034413786e+00°)
1.47910838816821e+01	(-8.27800716155355e-03dB,-2.50106160997697e+00°)
1.51356124843621e+01	(-8.66774855724344e-03dB,-2.55924224114068e+00°)
1.54881661891248e+01	(-9.07582041522232e-03dB,-2.61877260556415e+00°)
1.58489319246111e+01	(-9.50308301492059e-03dB,-2.67968375262693e+00°)
1.62181009735893e+01	(-9.95043683247700e-03dB,-2.74200742718681e+00°)
1.65958690743756e+01	(-1.04188244018379e-02dB,-2.80577608381098e+00°)
1.69824365246174e+01	(-1.09092322603895e-02dB,-2.87102290119968e+00°)
1.73780082874937e+01	(-1.14226929827724e-02dB,-2.93778179679745e+00°)
1.77827941003892e+01	(-1.19602873067439e-02dB,-3.00608744158576e+00°)
1.81970085860998e+01	(-1.25231463550131e-02dB,-3.07597527505034e+00°)
1.86208713666287e+01	(-1.31124539572335e-02dB,-3.14748152031538e+00°)
1.90546071796325e+01	(-1.37294490763709e-02dB,-3.22064319943584e+00°)
1.94984459975804e+01	(-1.43754283439394e-02dB,-3.29549814883821e+00°)
1.99526231496888e+01	(-1.50517487086797e-02dB,-3.37208503489865e+00°)
2.04173794466953e+01	(-1.57598302034846e-02dB,-3.45044336964640e+00°)
2.08929613085404e+01	(-1.65011588354985e-02dB,-3.53061352657897e+00°)
2.13796208950223e+01	(-1.72772896045046e-02dB,-3.61263675657422e+00°)
2.18776162394955e+01	(-1.80898496549296e-02dB,-3.69655520388299e+00°)
2.23872113856834e+01	(-1.89405415669112e-02dB,-3.78241192218400e+00°)
2.29086765276777e+01	(-1.98311467921020e-02dB,-3.87025089068159e+00°)
2.34422881531992e+01	(-2.07635292400527e-02dB,-3.96011703022431e+00°)
2.39883291901949e+01	(-2.17396390212109e-02dB,-4.05205621942087e+00°)
2.45470891568503e+01	(-2.27615163527110e-02dB,-4.14611531072771e+00°)
2.51188643150958e+01	(-2.38312956333955e-02dB,-4.24234214647992e+00°)
2.57039578276886e+01	(-2.49512096946269e-02dB,-4.34078557483522e+00°)
2.63026799189538e+01	(-2.61235942336164e-02dB,-4.44149546559765e+00°)
2.69153480392691e+01	(-2.73508924362921e-02dB,-4.54452272588530e+00°)
2.75422870333816e+01	(-2.86356597966980e-02dB,-4.64991931560306e+00°)
