Freq.	V(n003)
1.00000000000000e+00	(-8.57400006170883e-08dB,-1.80003601608910e-02°)
1.02329299228075e+00	(-8.97847844626152e-08dB,-1.84196423514492e-02°)
1.04712854805090e+00	(-9.40153517844308e-08dB,-1.88486910014917e-02°)
1.07151930523761e+00	(-9.84468415598756e-08dB,-1.92877335275459e-02°)
1.09647819614318e+00	(-1.03085558562308e-07dB,-1.97370024758391e-02°)
1.12201845430196e+00	(-1.07941357254564e-07dB,-2.01967364179392e-02°)
1.14815362149688e+00	(-1.13030688099473e-07dB,-2.06671786479696e-02°)
1.17489755493953e+00	(-1.18361285003833e-07dB,-2.11485791367998e-02°)
1.20226443461741e+00	(-1.23935165341176e-07dB,-2.16411928221481e-02°)
1.23026877081238e+00	(-1.29778055440509e-07dB,-2.21452809927270e-02°)
1.25892541179417e+00	(-1.35893852149727e-07dB,-2.26611108812055e-02°)
1.28824955169313e+00	(-1.42298613450643e-07dB,-2.31889559898390e-02°)
1.31825673855641e+00	(-1.49002831226912e-07dB,-2.37290961719280e-02°)
1.34896288259165e+00	(-1.56027673431827e-07dB,-2.42818177946317e-02°)
1.38038426460288e+00	(-1.63381865301246e-07dB,-2.48474139832820e-02°)
1.41253754462275e+00	(-1.71080227585132e-07dB,-2.54261846620525e-02°)
1.44543977074593e+00	(-1.79142942694363e-07dB,-2.60184365539683e-02°)
1.47910838816821e+00	(-1.87585574875600e-07dB,-2.66244839137241e-02°)
1.51356124843621e+00	(-1.96426786759834e-07dB,-2.72446477948666e-02°)
1.54881661891248e+00	(-2.05683793522622e-07dB,-2.78792571490085e-02°)
1.58489319246111e+00	(-2.15377003227974e-07dB,-2.85286485408421e-02°)
1.62181009735893e+00	(-2.25526958945904e-07dB,-2.91931661481399e-02°)
1.65958690743756e+00	(-2.36157511389891e-07dB,-2.98731623317064e-02°)
1.69824365246174e+00	(-2.47286571980575e-07dB,-3.05689976761147e-02°)
1.73780082874937e+00	(-2.58941593195007e-07dB,-3.12810410710850e-02°)
1.77827941003892e+00	(-2.71144608954276e-07dB,-3.20096702407723e-02°)
1.81970085860998e+00	(-2.83923022555204e-07dB,-3.27552712551955e-02°)
1.86208713666287e+00	(-2.97303940282015e-07dB,-3.35182395480388e-02°)
1.90546071796325e+00	(-3.11315357529181e-07dB,-3.42989796723756e-02°)
1.94984459975804e+00	(-3.25987371925438e-07dB,-3.50979056263540e-02°)
1.99526231496888e+00	(-3.41351097501067e-07dB,-3.59154409346182e-02°)
2.04173794466953e+00	(-3.57437954942873e-07dB,-3.67520190554246e-02°)
2.08929613085404e+00	(-3.74283604121797e-07dB,-3.76080835434657e-02°)
2.13796208950223e+00	(-3.91923009629113e-07dB,-3.84840884162882e-02°)
2.18776162394955e+00	(-4.10392798557222e-07dB,-3.93804980728575e-02°)
2.23872113856834e+00	(-4.29734842976418e-07dB,-4.02977877820734e-02°)
2.29086765276777e+00	(-4.49988229979755e-07dB,-4.12364438863525e-02°)
2.34422881531992e+00	(-4.71195143116594e-07dB,-4.21969641272902e-02°)
2.39883291901949e+00	(-4.93402090945944e-07dB,-4.31798577270745e-02°)
2.45470891568503e+00	(-5.16655024646319e-07dB,-4.41856459177390e-02°)
2.51188643150958e+00	(-5.41004408449912e-07dB,-4.52148619411413e-02°)
2.57039578276886e+00	(-5.66501492516827e-07dB,-4.62680514560779e-02°)
2.63026799189538e+00	(-5.93199770998374e-07dB,-4.73457729453846e-02°)
2.69153480392691e+00	(-6.21156820045467e-07dB,-4.84485976955606e-02°)
2.75422870333816e+00	(-6.50430983415009e-07dB,-4.95771106720663e-02°)
2.81838293126445e+00	(-6.81084710971949e-07dB,-5.07319100511147e-02°)
2.88403150312660e+00	(-7.13183396674751e-07dB,-5.19136081356685e-02°)
2.95120922666638e+00	(-7.46794167380153e-07dB,-5.31228315996985e-02°)
3.01995172040201e+00	(-7.81990013058222e-07dB,-5.43602214067252e-02°)
3.09029543251359e+00	(-8.18844050972290e-07dB,-5.56264337869018e-02°)
3.16227766016837e+00	(-8.57435004023964e-07dB,-5.69221400334097e-02°)
3.23593656929628e+00	(-8.97844910475440e-07dB,-5.82480271741875e-02°)
3.31131121482591e+00	(-9.40158701574257e-07dB,-5.96047982568914e-02°)
3.38844156139202e+00	(-9.84467262329282e-07dB,-6.09931725524083e-02°)
3.46736850452531e+00	(-1.03086379117443e-06dB,-6.24138862876566e-02°)
3.54813389233575e+00	(-1.07944687424531e-06dB,-6.38676926862486e-02°)
