Freq.	V(n002)
1.00000000000000e+01	(5.96042058916472e+00dB,-6.73678240205671e+00°)
1.02329299228075e+01	(5.95760489758524e+00dB,-6.89220975420500e+00°)
1.04712854805090e+01	(5.95465846183758e+00dB,-7.05115200779761e+00°)
1.07151930523761e+01	(5.95157530587247e+00dB,-7.21368364583168e+00°)
1.09647819614319e+01	(5.94834918949334e+00dB,-7.37988037608956e+00°)
1.12201845430196e+01	(5.94497359753389e+00dB,-7.54981912535999e+00°)
1.14815362149688e+01	(5.94144172867371e+00dB,-7.72357803132635e+00°)
1.17489755493953e+01	(5.93774648388796e+00dB,-7.90123643193959e+00°)
1.20226443461741e+01	(5.93388045452788e+00dB,-8.08287485208368e+00°)
1.23026877081238e+01	(5.92983591003011e+00dB,-8.26857498733077e+00°)
1.25892541179417e+01	(5.92560478525381e+00dB,-8.45841968457276e+00°)
1.28824955169313e+01	(5.92117866744589e+00dB,-8.65249291930488e+00°)
1.31825673855641e+01	(5.91654878283612e+00dB,-8.85087976932593e+00°)
1.34896288259165e+01	(5.91170598286551e+00dB,-9.05366638460824e+00°)
1.38038426460288e+01	(5.90664073005320e+00dB,-9.26093995307930e+00°)
1.41253754462275e+01	(5.90134308350886e+00dB,-9.47278866204525e+00°)
1.44543977074593e+01	(5.89580268410015e+00dB,-9.68930165497499e+00°)
1.47910838816821e+01	(5.89000873928681e+00dB,-9.91056898335247e+00°)
1.51356124843621e+01	(5.88395000763602e+00dB,-1.01366815532932e+01°)
1.54881661891248e+01	(5.87761478303604e+00dB,-1.03677310666101e+01°)
1.58489319246111e+01	(5.87099087862882e+00dB,-1.06038099560038e+01°)
1.62181009735893e+01	(5.86406561048534e+00dB,-1.08450113140417e+01°)
1.65958690743756e+01	(5.85682578105123e+00dB,-1.10914288155813e+01°)
1.69824365246174e+01	(5.84925766239436e+00dB,-1.13431566332848e+01°)
1.73780082874937e+01	(5.84134697929012e+00dB,-1.16002893458644e+01°)
1.77827941003892e+01	(5.83307889218515e+00dB,-1.18629218386916e+01°)
1.81970085860998e+01	(5.82443798008481e+00dB,-1.21311491963991e+01°)
1.86208713666287e+01	(5.81540822341528e+00dB,-1.24050665871011e+01°)
1.90546071796325e+01	(5.80597298691678e+00dB,-1.26847691378555e+01°)
1.94984459975804e+01	(5.79611500263024e+00dB,-1.29703518009954e+01°)
1.99526231496888e+01	(5.78581635304607e+00dB,-1.32619092109571e+01°)
2.04173794466953e+01	(5.77505845449074e+00dB,-1.35595355312430e+01°)
2.08929613085404e+01	(5.76382204083308e+00dB,-1.38633242911630e+01°)
2.13796208950223e+01	(5.75208714760034e+00dB,-1.41733682120161e+01°)
2.18776162394955e+01	(5.73983309660097e+00dB,-1.44897590223867e+01°)
2.23872113856834e+01	(5.72703848115930e+00dB,-1.48125872622568e+01°)
2.29086765276777e+01	(5.71368115207517e+00dB,-1.51419420756571e+01°)
2.34422881531992e+01	(5.69973820442983e+00dB,-1.54779109916171e+01°)
2.39883291901949e+01	(5.68518596536787e+00dB,-1.58205796932062e+01°)
2.45470891568503e+01	(5.66999998299328e+00dB,-1.61700317745074e+01°)
2.51188643150958e+01	(5.65415501652622e+00dB,-1.65263484854113e+01°)
2.57039578276886e+01	(5.63762502787552e+00dB,-1.68896084641760e+01°)
2.63026799189538e+01	(5.62038317478984e+00dB,-1.72598874577662e+01°)
2.69153480392691e+01	(5.60240180575865e+00dB,-1.76372580300520e+01°)
2.75422870333816e+01	(5.58365245684142e+00dB,-1.80217892580330e+01°)
2.81838293126445e+01	(5.56410585061045e+00dB,-1.84135464163398e+01°)
2.88403150312660e+01	(5.54373189739901e+00dB,-1.88125906503606e+01°)
2.95120922666638e+01	(5.52249969905194e+00dB,-1.92189786384506e+01°)
3.01995172040201e+01	(5.50037755538010e+00dB,-1.96327622437924e+01°)
3.09029543251359e+01	(5.47733297352357e+00dB,-2.00539881565991e+01°)
3.16227766016838e+01	(5.45333268043004e+00dB,-2.04826975274866e+01°)
3.23593656929628e+01	(5.42834263865517e+00dB,-2.09189255929747e+01°)
3.31131121482591e+01	(5.40232806569027e+00dB,-2.13627012942284e+01°)
3.38844156139202e+01	(5.37525345701893e+00dB,-2.18140468903012e+01°)
3.46736850452531e+01	(5.34708261309843e+00dB,-2.22729775673018e+01°)
3.54813389233575e+01	(5.31777867045376e+00dB,-2.27395010450683e+01°)
3.63078054770101e+01	(5.28730413706090e+00dB,-2.32136171831011e+01°)
3.71535229097172e+01	(5.25562093218251e+00dB,-2.36953175876737e+01°)
3.80189396320561e+01	(5.22269043080260e+00dB,-2.41845852222084e+01°)
3.89045144994280e+01	(5.18847351278646e+00dB,-2.46813940231675e+01°)
3.98107170553497e+01	(5.15293061686939e+00dB,-2.51857085238741e+01°)
4.07380277804112e+01	(5.11602179955107e+00dB,-2.56974834888267e+01°)
4.16869383470335e+01	(5.07770679894230e+00dB,-2.62166635612170e+01°)
4.26579518801592e+01	(5.03794510357783e+00dB,-2.67431829264878e+01°)
4.36515832240165e+01	(4.99669602617177e+00dB,-2.72769649948839e+01°)
4.46683592150962e+01	(4.95391878225239e+00dB,-2.78179221060402e+01°)
4.57088189614874e+01	(4.90957257357014e+00dB,-2.83659552587247e+01°)
4.67735141287197e+01	(4.86361667612650e+00dB,-2.89209538688958e+01°)
4.78630092322638e+01	(4.81601053262336e+00dB,-2.94827955592523e+01°)
4.89778819368445e+01	(4.76671384908216e+00dB,-3.00513459834342e+01°)
5.01187233627271e+01	(4.71568669533016e+00dB,-3.06264586879799e+01°)
5.12861383991364e+01	(4.66288960899845e+00dB,-3.12079750150573e+01°)
5.24807460249772e+01	(4.60828370262332e+00dB,-3.17957240488507e+01°)
5.37031796370252e+01	(4.55183077338986e+00dB,-3.23895226083170e+01°)
5.49540873857623e+01	(4.49349341500534e+00dB,-3.29891752888043e+01°)
5.62341325190348e+01	(4.43323513114069e+00dB,-3.35944745547704e+01°)
5.75439937337156e+01	(4.37102044983193e+00dB,-3.42052008855332e+01°)
5.88843655355588e+01	(4.30681503819088e+00dB,-3.48211229756423e+01°)
6.02559586074357e+01	(4.24058581673711e+00dB,-3.54419979910758e+01°)
6.16595001861481e+01	(4.17230107263060e+00dB,-3.60675718820446e+01°)
6.30957344480192e+01	(4.10193057105927e+00dB,-3.66975797527337e+01°)
6.45654229034654e+01	(4.02944566401750e+00dB,-3.73317462878251e+01°)
6.60693448007595e+01	(3.95481939570106e+00dB,-3.79697862351420e+01°)
6.76082975391980e+01	(3.87802660374285e+00dB,-3.86114049432313e+01°)
6.91830970918935e+01	(3.79904401552092e+00dB,-3.92562989521715e+01°)
7.07945784384136e+01	(3.71785033878734e+00dB,-3.99041566353559e+01°)
7.24435960074988e+01	(3.63442634589301e+00dB,-4.05546588894795e+01°)
7.41310241300916e+01	(3.54875495091945e+00dB,-4.12074798694398e+01°)
7.58577575029182e+01	(3.46082127907426e+00dB,-4.18622877643767e+01°)
7.76247116628690e+01	(3.37061272776113e+00dB,-4.25187456106178e+01°)
7.94328234724279e+01	(3.27811901879846e+00dB,-4.31765121368753e+01°)
8.12830516164097e+01	(3.18333224133082e+00dB,-4.38352426366723e+01°)
8.31763771102669e+01	(3.08624688505522e+00dB,-4.44945898626556e+01°)
8.51138038202374e+01	(2.98685986346671e+00dB,-4.51542049371968e+01°)
8.70963589956078e+01	(2.88517052691563e+00dB,-4.58137382734871e+01°)
8.91250938133743e+01	(2.78118066535920e+00dB,-4.64728405012088e+01°)
9.12010839355907e+01	(2.67489450078289e+00dB,-4.71311633908084e+01°)
9.33254300796988e+01	(2.56631866935949e+00dB,-4.77883607704160e+01°)
9.54992586021433e+01	(2.45546219350582e+00dB,-4.84440894295417e+01°)
9.77237220955808e+01	(2.34233644408634e+00dB,-4.90980100038385e+01°)
9.99999999999997e+01	(2.22695509309816e+00dB,-4.97497878354441e+01°)
1.02329299228075e+02	(2.10933405725293e+00dB,-5.03990938037031e+01°)
1.04712854805090e+02	(1.98949143294476e+00dB,-5.10456051214117e+01°)
1.07151930523760e+02	(1.86744742316090e+00dB,-5.16890060921236e+01°)
1.09647819614318e+02	(1.74322425695053e+00dB,-5.23289888244922e+01°)
1.12201845430196e+02	(1.61684610211765e+00dB,-5.29652539000986e+01°)
1.14815362149688e+02	(1.48833897184487e+00dB,-5.35975109917152e+01°)
1.17489755493953e+02	(1.35773062598667e+00dB,-5.42254794294759e+01°)
1.20226443461741e+02	(1.22505046779278e+00dB,-5.48488887129533e+01°)
1.23026877081238e+02	(1.09032943683452e+00dB,-5.54674789676789e+01°)
1.25892541179416e+02	(9.53599898910574e-01dB,-5.60810013451689e+01°)
1.28824955169313e+02	(8.14895533702551e-01dB,-5.66892183660343e+01°)
1.31825673855640e+02	(6.74251220936947e-01dB,-5.72919042062498e+01°)
1.34896288259165e+02	(5.31702925788254e-01dB,-5.78888449271255e+01°)
1.38038426460288e+02	(3.87287584229331e-01dB,-5.84798386499667e+01°)
1.41253754462275e+02	(2.41042989000307e-01dB,-5.90646956768099e+01°)
1.44543977074592e+02	(9.30076768273293e-02dB,-5.96432385589899e+01°)
1.47910838816820e+02	(-5.67791825220584e-02dB,-6.02153021156176e+01°)
1.51356124843620e+02	(-2.08277894807846e-01dB,-6.07807334043327e+01°)
1.54881661891248e+02	(-3.61448347022173e-01dB,-6.13393916469294e+01°)
1.58489319246111e+02	(-5.16250109793066e-01dB,-6.18911481126569e+01°)
1.62181009735892e+02	(-6.72642536103655e-01dB,-6.24358859621416e+01°)
1.65958690743755e+02	(-8.30584855996254e-01dB,-6.29735000549967e+01°)
1.69824365246174e+02	(-9.90036266983061e-01dB,-6.35038967242524e+01°)
1.73780082874937e+02	(-1.15095601993653e+00dB,-6.40269935207806e+01°)
1.77827941003892e+02	(-1.31330350028175e+00dB,-6.45427189308847e+01°)
1.81970085860998e+02	(-1.47703830436052e+00dB,-6.50510120702009e+01°)
1.86208713666286e+02	(-1.64212031088124e+00dB,-6.55518223569946e+01°)
1.90546071796324e+02	(-1.80850974741041e+00dB,-6.60451091678584e+01°)
1.94984459975804e+02	(-1.97616725190019e+00dB,-6.65308414787110e+01°)
1.99526231496887e+02	(-2.14505392928141e+00dB,-6.70089974938764e+01°)
2.04173794466952e+02	(-2.31513140318335e+00dB,-6.74795642658876e+01°)
2.08929613085403e+02	(-2.48636186287008e+00dB,-6.79425373085083e+01°)
2.13796208950222e+02	(-2.65870810550784e+00dB,-6.83979202053115e+01°)
2.18776162394954e+02	(-2.83213357389973e+00dB,-6.88457242159903e+01°)
2.23872113856833e+02	(-3.00660238984241e+00dB,-6.92859678824085e+01°)
2.29086765276776e+02	(-3.18207938327448e+00dB,-6.97186766362330e+01°)
2.34422881531991e+02	(-3.35853011739905e+00dB,-7.01438824098185e+01°)
2.39883291901948e+02	(-3.53592090997208e+00dB,-7.05616232518545e+01°)
2.45470891568502e+02	(-3.71421885095550e+00dB,-7.09719429491198e+01°)
2.51188643150957e+02	(-3.89339181673880e+00dB,-7.13748906555345e+01°)
2.57039578276885e+02	(-4.07340848113506e+00dB,-7.17705205295496e+01°)
2.63026799189537e+02	(-4.25423832335863e+00dB,-7.21588913807713e+01°)
2.69153480392690e+02	(-4.43585163319007e+00dB,-7.25400663265815e+01°)
2.75422870333816e+02	(-4.61821951353188e+00dB,-7.29141124593874e+01°)
2.81838293126444e+02	(-4.80131388055461e+00dB,-7.32811005250169e+01°)
2.88403150312659e+02	(-4.98510746162797e+00dB,-7.36411046126628e+01°)
2.95120922666637e+02	(-5.16957379122580e+00dB,-7.39942018566806e+01°)
3.01995172040200e+02	(-5.35468720498721e+00dB,-7.43404721504474e+01°)
3.09029543251358e+02	(-5.54042283210881e+00dB,-7.46799978724094e+01°)
3.16227766016837e+02	(-5.72675658623547e+00dB,-7.50128636243646e+01°)
3.23593656929627e+02	(-5.91366515500889e+00dB,-7.53391559819613e+01°)
3.31131121482590e+02	(-6.10112598842505e+00dB,-7.56589632573311e+01°)
3.38844156139201e+02	(-6.28911728614306e+00dB,-7.59723752737209e+01°)
3.46736850452530e+02	(-6.47761798387983e+00dB,-7.62794831519415e+01°)
3.54813389233574e+02	(-6.66660773901610e+00dB,-7.65803791084096e+01°)
3.63078054770100e+02	(-6.85606691553147e+00dB,-7.68751562645251e+01°)
3.71535229097171e+02	(-7.04597656837766e+00dB,-7.71639084670956e+01°)
3.80189396320559e+02	(-7.23631842739139e+00dB,-7.74467301194962e+01°)
3.89045144994279e+02	(-7.42707488084048e+00dB,-7.77237160232339e+01°)
3.98107170553495e+02	(-7.61822895868935e+00dB,-7.79949612295670e+01°)
4.07380277804111e+02	(-7.80976431566315e+00dB,-7.82605609008226e+01°)
4.16869383470333e+02	(-8.00166521418251e+00dB,-7.85206101810431e+01°)
4.26579518801591e+02	(-8.19391650723480e+00dB,-7.87752040755904e+01°)
4.36515832240164e+02	(-8.38650362124144e+00dB,-7.90244373393314e+01°)
