Freq.	V(Vout)/V(Vin)	V(vout)
1.00000000000000e+02	(1.97331068921300e+01dB,1.79996400000008e+02°)	(-5.87694046603383e+00dB,-9.30084262338445e+01°)
1.02329299228075e+02	(1.97331068913220e+01dB,1.79996316145237e+02°)	(-5.67750285415631e+00dB,-9.30783687119617e+01°)
1.04712854805090e+02	(1.97331068904759e+01dB,1.79996230337236e+02°)	(-5.47809166876967e+00dB,-9.31499308866262e+01°)
1.07151930523761e+02	(1.97331068895899e+01dB,1.79996142530511e+02°)	(-5.27870814780965e+00dB,-9.32231498106644e+01°)
1.09647819614318e+02	(1.97331068886622e+01dB,1.79996052678504e+02°)	(-5.07935358683333e+00dB,-9.32980633520510e+01°)
1.12201845430196e+02	(1.97331068876907e+01dB,1.79995960733575e+02°)	(-4.88002934166571e+00dB,-9.33747102095091e+01°)
1.14815362149688e+02	(1.97331068866734e+01dB,1.79995866646974e+02°)	(-4.68073683116442e+00dB,-9.34531299282368e+01°)
1.17489755493953e+02	(1.97331068856083e+01dB,1.79995770368814e+02°)	(-4.48147754010754e+00dB,-9.35333629157465e+01°)
1.20226443461741e+02	(1.97331068844929e+01dB,1.79995671848048e+02°)	(-4.28225302220960e+00dB,-9.36154504578015e+01°)
1.23026877081238e+02	(1.97331068833249e+01dB,1.79995571032438e+02°)	(-4.08306490327110e+00dB,-9.36994347344345e+01°)
1.25892541179417e+02	(1.97331068821019e+01dB,1.79995467868532e+02°)	(-3.88391488446699e+00dB,-9.37853588360294e+01°)
1.28824955169313e+02	(1.97331068808213e+01dB,1.79995362301629e+02°)	(-3.68480474577978e+00dB,-9.38732667794465e+01°)
1.31825673855641e+02	(1.97331068794803e+01dB,1.79995254275757e+02°)	(-3.48573634958317e+00dB,-9.39632035241701e+01°)
1.34896288259165e+02	(1.97331068780761e+01dB,1.79995143733639e+02°)	(-3.28671164438206e+00dB,-9.40552149884545e+01°)
1.38038426460288e+02	(1.97331068766057e+01dB,1.79995030616665e+02°)	(-3.08773266871539e+00dB,-9.41493480654423e+01°)
1.41253754462275e+02	(1.97331068750660e+01dB,1.79994914864858e+02°)	(-2.88880155522797e+00dB,-9.42456506392283e+01°)
1.44543977074593e+02	(1.97331068734538e+01dB,1.79994796416845e+02°)	(-2.68992053491809e+00dB,-9.43441716008365e+01°)
1.47910838816821e+02	(1.97331068717656e+01dB,1.79994675209823e+02°)	(-2.49109194156736e+00dB,-9.44449608640793e+01°)
1.51356124843621e+02	(1.97331068699978e+01dB,1.79994551179528e+02°)	(-2.29231821636018e+00dB,-9.45480693812617e+01°)
1.54881661891248e+02	(1.97331068681467e+01dB,1.79994424260195e+02°)	(-2.09360191269941e+00dB,-9.46535491586916e+01°)
