Freq.	V(vout)	V(vout)/V(vin)
1.00000000000000e+02	(-5.87694044888880e+00dB,-9.30048262338819e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.02329299228075e+02	(-5.67750283620326e+00dB,-9.30746848572280e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.04712854805090e+02	(-5.47809164997052e+00dB,-9.31461612238929e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.07151930523761e+02	(-5.27870812812452e+00dB,-9.32192923412064e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.09647819614318e+02	(-5.07935356622047e+00dB,-9.32941160305869e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.12201845430196e+02	(-4.88002932008140e+00dB,-9.33706709431169e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.14815362149688e+02	(-4.68073680856287e+00dB,-9.34489965752441e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.17489755493953e+02	(-4.48147751644081e+00dB,-9.35291332845948e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.20226443461741e+02	(-4.28225299742750e+00dB,-9.36111223058844e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.23026877081238e+02	(-4.08306487732105e+00dB,-9.36950057669086e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.25892541179417e+02	(-3.88391485729395e+00dB,-9.37808267045975e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.28824955169313e+02	(-3.68480471732612e+00dB,-9.38686290811125e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.31825673855641e+02	(-3.48573631978852e+00dB,-9.39584577999651e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.34896288259165e+02	(-3.28671161318324e+00dB,-9.40503587221328e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
